population_size,fitness_score,training_time
20,5.366227473251098,0.2473392486572265
30,5.433265468285764,0.432302713394165
40,5.162302131355804,0.7141234874725342
50,5.206879488348229,1.0841350555419922
60,5.08490580920504,1.5020339488983154
70,4.628179345307346,2.186154842376709
80,3.1886980440072303,2.960401058197021
90,4.622657386333037,3.1789207458496094
100,4.58422100820205,4.045146942138672
125,5.067309397510154,5.576131582260132
150,3.386276370861812,7.729809522628784
175,3.720649405735759,10.739917755126951
200,4.3113160243598045,12.550863027572632
250,3.602042346873739,19.8270206451416
300,4.616549943487256,26.27081251144409
350,3.1576350605808106,33.624621629714966
400,4.538632624546486,39.711811542510986
450,2.411896631380155,50.84068465232849
500,3.689910013476046,58.52685976028442
550,2.5756361900426445,68.63301181793213
600,3.4874062575573026,80.14726710319519
650,2.2892383886381307,89.2820975780487
700,2.8018062298900768,100.05162286758424
750,2.7682575990524856,113.0679624080658
800,4.592330979048918,123.24651956558228
850,4.532658489350462,137.33936500549316
900,2.807115282590996,153.25555276870728
950,2.6413073250767165,171.10417413711548
1000,3.357517506111005,181.59316611289975
2000,2.562898642573065,559.2516739368439
3000,2.8035268647383487,1108.1094863414764
4000,1.8857819194000425,1769.8709874153135
5000,2.000602051619243,2674.738823413849
6000,2.2583183171328765,3462.698005437851
7000,2.480293786445688,4386.4912803173065
